"address","lon","lat"
"Shop 6/ 101 Waminda Ave, Campbelltown NSW 2560",150.8295579,-34.0716989
"73 Jeffrey St, Canterbury NSW 2193",151.1199708,-33.9105884
"7.9/ 11 Bay Dr, Meadowbank NSW 2114",151.0901549,-33.8182624
"31 55/67 George St, Parramatta NSW 2150",151.0045905,-33.8139142
"51 The Cres, Fairfield NSW 2165",150.955962,-33.8722779
"44 Wharf Rd, West Ryde NSW 1685",151.0716706,-33.8122464
"Shop 255/ 243 Pyrmont St, Pyrmont NSW 2009",151.1972356,-33.8740515
"Cnr Longueville Road and Austin Street, Lane Cove NSW 2066",151.1700327,-33.8155681
"Cnr Devlin Street and Blaxland Road, Ryde NSW 2112",151.1060462,-33.8103586
"261 Pennant Hills Rd, Thornleigh NSW 2120",151.0813223,-33.731185
"Bells Line Off Rd, North Richmond NSW 2754",150.4855411,-33.5169172
"26-60 Broadway, Chippendale NSW 2008",151.2009775,-33.8851983
"Cnr Epping and Balaclava Roads, Marsfield NSW 2122",151.1081211,-33.7777197
"Chester Square Shopping Centre, Chester Hill NSW 2162",151.0008372,-33.8824031
"Shop 2/ 29-33 Darcy Rd, Westmead NSW 2145",150.9797223,-33.8039135
"86 Pye Rd, Quakers Hill NSW 2763",150.8974054,-33.7331712
"Unit 8/ 40 Third Ave, Blacktown NSW 2148",150.9084826,-33.7653777
"2 The Comenarra Pkwy, Thornleigh NSW 2120",151.0822426,-33.7312005
"123 Parraweena Rd, Taren Point NSW 2229",151.1180652,-34.0258014
"Campbelltown Mall 271 Queen St, Campbelltown NSW 2560",150.8108866,-34.0688552
"463 Illawarra Rd, Marrickville NSW 2204",151.1503486,-33.9165692
"Neeta City Shopping Centre, 1-29 Court St, Fairfield NSW 2165",150.956444,-33.868879
"Lennox Shopping Centre, Cnr Great Western Highway and Lawson Street, Emu Plains NSW 2750",150.659035,-33.752755
"28- 30 Oak St, Rosehill NSW 2142",151.0203353,-33.8197484
"Shop 1/ 35 Harrow Rd, Auburn NSW 2144",151.030744,-33.854008
"166 Belmore Rd, Randwick NSW 2031",151.2408593,-33.9169381
"Shop 55 Chatswood Rail Int, Chatswood NSW 2057",151.18142,-33.797293
"3/ 45 Rawson St, Auburn NSW 2144",151.0349911,-33.8498385
"10A Olive St, Baulkham Hills NSW 2153",150.9921601,-33.7598885
"125 James Cook Dr, Kings Langley NSW 2147",150.923371,-33.7432117
"4 Booth St, Annandale NSW 2038",151.1748066,-33.8831094
"524- 544 Rocky Point Rd, Sans Souci NSW 2219",151.1317178,-33.9933672
"17- 21 Parramatta Rd, Lidcombe NSW 2141",151.0498125,-33.8482134
"1 Sargents Rd, Minchinbury NSW 2770",150.8207659,-33.788754
