"SSC_2006_NAME","SSC_CODE_2001","SSC_CODE_2006","SSC_CODE_2011","SSC_CODE_2016"
"Winmalee",13551,12059,12524,14334
"Winston Hills",13556,12061,12525,14335
"Wollongong",17266,15281,12534,14358
"Wollstonecraft",13561,12065,12535,14359
"Wombarra",17271,15286,12537,14363
"Woodbine",13566,12067,12544,14378
"Woodcroft",13571,12069,12546,14381
"Woodpark",13576,12073,12551,14390
"Woodrising",16486,14511,12552,14391
"Woollahra",13581,12075,12561,14404
"Woolloomooloo",13586,12077,12563,14406
"Woolooware",13591,12079,12565,14410
"Woolwich",13596,12081,12567,14412
"Woonona",17276,15291,12571,14416
"Woronora",13601,12083,12574,14420
"Woronora Heights",13606,12085,12575,14422
"Woy Woy",15351,13441,12578,14425
"Woy Woy Bay",15356,13446,12579,14426
"Wyoming",15361,13451,12586,14445
"Wyong",15366,13456,12587,14446
"Wyongah",15371,13461,12589,14448
"Yagoona",13611,12087,12591,14453
"Yarrawarrah",13616,12089,12602,14485
"Yattalunga",15376,13466,12610,14496
"Yennora",13621,12091,12615,14506
"Yowie Bay",13626,12093,12624,14519
"Zetland",13631,12095,12626,14524
