"SSC_2006_NAME","SSC_CODE_2001","SSC_CODE_2006","SSC_CODE_2011","SSC_CODE_2016"
"Concord West",11596,11249,10575,11000
"Condell Park",11601,11251,10576,11001
"Coniston",17061,15066,10583,11010
"Connells Point",11606,11253,10585,11013
"Coogee",11611,11255,10587,11015
"Cooks Hill",16121,14126,10591,11019
"Copacabana",15076,13086,10613,11056
"Cordeaux Heights",17066,15071,10619,11070
"Corrimal",17071,15076,10625,11082
"Cranebrook",11616,11257,10634,11105
"Cremorne",11621,11259,10637,11112
"Cremorne Point",11626,11261,10638,11113
"Cringila",17076,15081,10641,11116
"Cromer",11631,11263,10642,11118
"Cronulla",11636,11265,10643,11119
"Croudace Bay",16126,14131,10646,11128
"Crows Nest",11641,11267,10649,11131
"Croydon",11646,11269,10650,11134
"Croydon Park",11651,11271,10651,11135
"Curl Curl",11656,11273,10667,11167
"Currans Hill",11661,11275,10672,11175
"Daceyville",11666,11277,10675,11185
"Daleys Point",15081,13091,10676,11189
"Dapto",17081,15086,10683,11202
"Darling Point",11671,11279,10690,11211
"Darlinghurst",11676,11281,10691,11212
"Darlington",11681,11283,10693,11214
"Davidson",11686,11285,10696,11219
"Davistown",15086,13096,10697,11221
"Dawes Point",11691,11287,10698,11222
"Dean Park",11696,11289,10699,11224
"Dee Why",11701,11291,10700,11227
"Denistone",11706,11295,10709,11238
"Denistone East",11711,11297,10710,11239
"Denistone West",11716,11299,10711,11240
"Dharruk",11721,11301,10714,11248
"Dolans Bay",11726,11303,10717,11266
"Dolls Point",11731,11305,10718,11267
"Doonside",11736,11307,10722,11275
"Double Bay",11741,11309,10726,11281
"Dover Heights",11746,11311,10729,11284
"Drummoyne",11751,11313,10734,11293
"Dudley",16131,14136,10738,11300
"Dulwich Hill",11756,11315,10741,11303
"Dundas",11761,11317,10745,11312
"Dundas Valley",11766,11319,10746,11313
"Dural",11771,11321,10756,11329
"Eagle Vale",11776,11323,10761,11341
"Earlwood",11781,11325,10763,11343
"East Gosford",15091,13111,10770,11349
"East Hills",11786,11327,10772,11351
"East Killara",11791,11329,10775,11355
"East Lindfield",11796,11331,10777,11357
"East Ryde",11801,11333,10780,11361
"Eastern Creek",11806,11335,10784,11366
"Eastlakes",11811,11339,10786,11368
"Eastwood",11816,11341,10787,11369
"Edensor Park",11821,11343,10793,11377
"Edgecliff",11826,11345,10794,11379
"Edgeworth",16136,14141,10795,11381
"Elanora Heights",11831,11347,10800,11389
"Elderslie",11836,11349,10801,11392
"Eleebana",16141,14146,10802,11393
"Elermore Vale",16146,14151,10803,11394
"Elizabeth Bay",11841,11351,10804,11395
"Emerton",11846,11353,10818,11413
"Empire Bay",15096,13116,10820,11415
"Emu Heights",11851,11355,10822,11417
"Emu Plains",11856,11357,10823,11418
"Enfield",11861,11359,10824,11421
"Engadine",11866,11361,10825,11422
"Enmore",11871,11365,10827,11425
"Epping",11876,11367,10829,11428
"Erina",15101,13121,10831,11433
"Ermington",11881,11369,10833,11435
"Erskine Park",11886,11371,10835,11438
"Erskineville",11891,11373,10836,11439
"Eschol Park",11896,11375,10838,11441
"Ettalong Beach",15106,13126,10840,11445
"Fairfield",11901,11377,10862,11477
"Fairfield East",11906,11379,10863,11478
"Fairfield Heights",11911,11381,10864,11479
"Fairfield West",11916,11383,10865,11480
"Fairlight",11921,11385,10866,11482
"Fairy Meadow",17086,15096,10868,11484
"Farmborough Heights",17091,15101,10872,11491
"Faulconbridge",11926,11387,10874,11496
"Fennell Bay",16156,14161,10878,11500
"Figtree",17096,15111,10888,11515
"Five Dock",11931,11389,10898,11530
"Fletcher",16161,14171,10899,11533
"Flinders",17101,15116,10900,11534
"Floraville",16166,14176,10901,11535
"Forest Lodge",11936,11391,10904,11546
"Forestville",11941,11393,10906,11548
"Forresters Beach",15111,13131,10907,11549
"Frenchs Forest",11946,11395,10917,11568
"Garden Suburb",16171,14181,10926,11587
"Gateshead",16176,14186,10928,11594
"Georges Hall",11951,11397,10930,11601
"Georgetown",16181,14191,10932,11603
"Girraween",11956,11399,10950,11636
"Gladesville",11961,11401,10951,11638
"Glebe",11966,11403,10953,11641
"Glen Alpine",11971,11405,10954,11645
"Glenbrook",11976,11407,10959,11656
"Glendale",16186,14196,10961,11658
"Glendenning",11981,11409,10962,11659
"Glenfield",11986,11411,10964,11664
"Glenhaven",11991,11413,10966,11667
"Glenmore Park",11996,11415,10968,11670
"Glenning Valley",15116,13136,10969,11672
"Glenwood",12001,11417,10979,11682
"Gordon",12006,11419,10998,11718
"Gorokan",15121,13141,11000,11721
"Gosford",15126,13146,11001,11722
"Granville",12011,11421,11008,11738
"Grays Point",12016,11423,11013,11743
"Green Point",15131,13151,11017,11755
"Green Valley",12021,11425,11018,11756
"Greenacre",12026,11427,11019,11757
"Greenfield Park",12031,11429,11022,11761
"Greenwich",12036,11431,11027,11770
"Greystanes",12041,11433,11033,11781
"Guildford",12046,11435,11038,11790
"Guildford West",12051,11437,11039,11791
"Gwynneville",17106,15121,11056,11825
"Gymea",12056,11439,11057,11826
"Gymea Bay",12061,11441,11058,11827
"Haberfield",12066,11443,11059,11828
"Halekulani",15136,13161,11060,11830
"Hamilton",16191,14201,11064,11838
"Hamilton East",16196,14206,11065,11839
"Hamilton North",16201,14211,11066,11840
"Hamilton South",16206,14216,11067,11841
"Hammondville",12071,11445,11070,11844
"Harrington Park",12081,11449,11077,11859
"Harris Park",12086,11451,11078,11860
"Hassall Grove",12091,11453,11081,11866
"Haymarket",12096,11455,11089,11877
"Heathcote",12101,11459,11092,11883
"Hebersham",12106,11461,11094,11886
"Heckenberg",12111,11463,11095,11887
"Henley",12116,11465,11098,11891
"Highfields",16211,14221,11107,11902
"Hillsborough",16216,14226,11111,11910
"Hillsdale",12121,11467,11112,11911
"Hinchinbrook",12126,11469,11116,11915
"Holmesville",16221,14231,11122,11924
"Holsworthy",12131,11473,11124,11926
"Homebush",12136,11475,11125,11929
"Homebush West",12146,11479,11126,11930
"Horningsea Park",12151,11481,11129,11935
"Hornsby",12156,11483,11130,11936
"Hornsby Heights",12161,11485,11131,11937
"Horsley",17111,15126,11135,11942
"Hoxton Park",12166,11487,11139,11951
"Hunters Hill",12171,11489,11141,11954
"Huntleys Point",12176,11493,11145,11961
"Hurlstone Park",12181,11495,11147,11963
"Hurstville",12186,11497,11148,11964
"Hurstville Grove",12191,11499,11149,11965
"Illawong",12196,11501,11155,11974
"Ingleburn",12201,11503,11157,11978
"Ingleside",12206,11505,11158,11979
"Islington",16226,14236,11161,11990
"Jamisontown",12211,11507,11166,12000
"Jannali",12216,11509,11167,12001
"Jesmond",16231,14241,11180,12023
"Jewells",16236,14246,11181,12024
"Kahibah",16241,14251,11192,12048
"Kanahooka",17116,15131,11197,12055
"Kangaroo Point",12221,11511,11201,12060
"Kanwal",15146,13176,11206,12067
"Kareela",12226,11513,11210,12073
"Kariong",15151,13181,11211,12074
"Kearns",12231,11517,11214,12079
"Keiraville",17121,15136,11218,12085
"Kellyville",12236,11519,11220,12088
"Kembla Grange",17126,15141,11223,12092
"Kensington",12241,11523,11229,12099
"Kilaben Bay",16246,14256,11242,12125
"Killara",12246,11525,11244,12129
"Killarney Heights",12251,11527,11245,12130
"Killarney Vale",15156,13186,11246,12131
"Kincumber",15161,13201,11253,12141
"Kincumber South",15166,13206,11254,12142
"Kings Langley",12256,11529,11257,12149
"Kings Park",12261,11531,11258,12150
"Kingsford",12266,11533,11261,12156
"Kingsgrove",12271,11535,11262,12158
"Kingswood",12276,11537,11265,12164
"Kirrawee",12281,11539,11269,12172
"Kirribilli",12286,11541,11270,12173
"Kogarah",12291,11543,11273,12181
"Kogarah Bay",12296,11545,11274,12182
"Koolewong",15171,13211,11275,12185
"Koonawarra",17131,15146,11276,12187
"Kotara",16251,14266,11286,12200
"Kotara South",16256,14271,11287,12201
"Kurnell",12301,11547,11294,12216
"Kyeemagh",12306,11549,11300,12226
"Kyle Bay",12311,11551,11301,12227
"La Perouse",12316,11553,11303,12230
"Lake Haven",15176,13216,11314,12247
"Lake Heights",17136,15151,11315,12248
"Lake Illawarra",17141,15156,11316,12250
"Lakelands",16261,14276,11321,12256
"Lakemba",12321,11555,11322,12257
"Lalor Park",12326,11557,11326,12261
"Lambton",16266,14281,11328,12264
"Lane Cove",12331,11559,11329,12266
"Lane Cove North",12336,11561,11330,12267
"Lane Cove West",12341,11563,11331,12268
"Lansvale",12346,11567,11336,12275
"Lapstone",12351,11569,11337,12276
"Lavender Bay",12356,11571,11342,12285
"Leichhardt",12361,11575,11351,12297
"Leonay",12366,11577,11354,12304
"Lethbridge Park",12371,11579,11356,12307
"Leumeah",12376,11581,11357,12308
"Lewisham",12381,11585,11360,12313
"Liberty Grove",12386,11587,11362,12315
"Lidcombe",12391,11589,11363,12316
"Lilli Pilli",12396,11591,11367,12322
"Lilyfield",12401,11593,11369,12325
"Lindfield",12406,11597,11376,12339
"Linley Point",12411,11599,11378,12341
"Lisarow",15181,13226,11379,12343
"Little Bay",12416,11601,11384,12349
"Liverpool",12421,11603,11390,12361
"Loftus",12426,11605,11397,12371
"Long Jetty",15186,13231,11404,12378
"Long Point",12431,11607,11405,12382
"Longueville",12436,11609,11406,12385
"Lugarno",12441,11611,11425,12421
"Lurnea",12446,11613,11426,12422
"Macquarie Fields",12451,11615,11434,12433
"Macquarie Hills",16271,14291,11435,12434
"Macquarie Links",12456,11617,11436,12435
"Macquarie Park",12461,11619,11437,12437
"Malabar",12466,11621,11445,12453
"Mangerton",17146,15161,11453,12468
"Manly",12471,11623,11458,12475
"Manly Vale",12476,11625,11459,12476
"Marayong",12481,11627,11464,12485
"Mardi",15191,13251,11466,12488
"Marks Point",16276,14296,11467,12492
"Marmong Point",16281,14301,11470,12498
"Maroubra",12486,11629,11472,12501
"Marrickville",12491,11631,11475,12504
"Marsfield",12496,11635,11477,12506
"Maryland",16286,14306,11484,12515
"Maryville",16291,14311,11486,12518
"Mascot",12501,11637,11487,12519
"Matraville",12506,11639,11491,12524
"Mayfield",16296,14316,11492,12533
"Mayfield East",16301,14321,11493,12534
"Mayfield West",16306,14326,11494,12536
