ss,low_income,high_income,p_income,f_income,h_income,chinese_p,owner,mortgage,rent,rental,rent_distress,repay,repay_distress,house,semi,unit,ssc,POA_CODE_2016
Wollstonecraft,9.3,40.4,1388,3157,2422,8,25.5,22.9,49.3,570,13.2,2541,4.2,6.8,13.4,79.6,14359,2065
Waverton,10.8,40.7,1365,3194,2392,7.6000000000000005,32.5,19.2,45.2,600,12.3,2500,2.6,16.2,32.3,51,14202,2060
North Sydney,9.5,36.3,1322,2988,2272,7,19.6,18.2,58.5,560,17.9,2500,4.2,6.8,12.5,79.9,13010,2060
Mosman,10.7,44.9,1295,3671,2522,3.1,36.3,26.5,34.3,560,13.7,3000,6.1,35.4,12.1,51.7,12738,2088
Kirribilli,17.4,37,1424,3355,2233,3.9,21.8,12.3,62.1,540,19.7,2579,2.8,4.7,7.9,86.6,12173,2061
Milsons Point,7.7,50.7,1680,3639,3107,15.6,30,14.3,53,720,15.6,3000,3.9,0.3,0.3,99.1,12629,2061
McMahons Point,8.6,40.5,1496,3530,2379,2.7,28.7,16.9,52.1,580,15.8,2919,4.9,10.1,27.1,62.5,12547,2060
Seaforth,8.4,54.2,1062,3672,3384,3.3000000000000003,39.6,41.9,16.6,780,7.1,3700,10.2,85.9,9,4.7,13509,2092
Balgowlah Heights,7.7,58.8,1139,4004,3726,1,48.5,41.2,8.9,1100,4.9,4292,8.8,96.1,2.7,0,10154,2093
Clontarf,7.7,59.9,1140,3985,3744,3.5,52.2,35.4,9.8,1200,4.5,4333,7.9,94.7,5.3,0,10935,2093
Manly,12.4,42.8,1280,3277,2449,0,26.6,19.1,51,650,16.7,2882,3.8,11.3,11.1,76.9,12475,2095
Scotland Island,6.9,24,965,2171,1800,0,35.5,46.4,16.6,465,8.7,2173,13.9,96.7,0,0,13505,2105
Elanora Heights,9.6,39.9,855,2523,2461,0,41.4,45.1,11.5,700,4.9,3000,9.6,90.9,1.1,7.4,11389,2101
Ingleside,12.2,34.1,808,2329,2170,2.3,47,23,27.9,451,8.2,3017,5.4,91.1,2.5,0,11979,2101
Warriewood,10,30.1,876,2366,2160,0,30.1,46.3,18.2,680,9.2,2711,12,49.1,26.8,23.8,14173,2102
North Narrabeen,11.6,32.2,843,2352,2177,0,36.1,42.9,16.9,620,7.4,2834,11.5,86.8,3.3,3.6,12999,2101
Beacon Hill,9.2,36.4,794,2417,2369,4.5,39.7,44.7,13.1,736,6.2,2900,10.5,91.3,4.7,3.6,10238,2100
Narraweena,24.8,23.7,654,2030,1577,3.3,31.9,30.8,29.1,296,12.9,2800,7.7,71.7,15.2,12.1,12910,2099
Cromer,15.5,28.5,772,2294,1998,1.1,38.3,40.7,13.2,600,5.7,2700,9.6,76.3,8.6,14.5,11118,2099
Dee Why,14.1,17.8,865,2040,1716,2.5,20.9,29.4,46.2,500,20.8,2167,8.1,16.6,3.1,79.8,11227,2099
North Curl Curl,8,46.2,926,2902,2768,1.1,37,41.7,17.9,750,7.5,3006,8.1,88.5,5.3,5.4,12988,2099
Forestville,17.2,36.2,767,2556,2151,5.300000000000001,39.3,36.9,19,600,8.2,2817,7.5,80.9,7.6,11,11548,2087
Frenchs Forest,9.8,40.1,863,2639,2514,3.7,39.2,45.5,12.9,760,5.1,3000,10.1,93.3,4.7,1.6,11568,2086
Belrose,13.6,35,764,2491,2117,3,45,39.1,8.9,820,3.4,3000,7.7,77.5,21.2,0.8,10283,2085
Davidson,9.1,43.3,871,2742,2630,1.3,46.9,44.5,6.7,878,1.9,3000,8.5,97.7,0.8,1.2,11219,2085
Curl Curl,12.5,45.5,1031,3178,2693,0,36.7,35.6,23.3,620,9.4,3100,7.6,70.8,8,16.2,11167,2096
North Manly,10.9,43.6,876,2710,2571,1,34.6,45.5,16.7,678,7.2,3200,10.8,85.8,7.7,5.3,12997,2100
Brookvale,13.4,20.8,910,2232,1822,4.1,15.7,38.3,42.3,500,19.2,2200,10.7,17.9,17.4,61.8,10601,2100
Allambie Heights,16.5,36.4,777,2630,2229,2.7,36.9,41.4,17.4,478,6.4,2902,8,84.3,7.4,7.9,10036,2100
North Balgowlah,9.9,51.4,982,3479,3119,1.6,34.7,49.2,13.8,723,5.6,3203,9.2,90.5,3.8,5.7,12981,2093
Narrabeen,17.9,20.3,941,2241,1582,0,28.1,24.1,37.2,515,16.1,2311,6,15.1,15.5,68.9,12902,2101
Collaroy,12.4,31.2,955,2483,2115,1.2,33.3,32.9,30.1,530,11.6,2500,7.2,41.7,4.5,52.7,10970,2097
Terrey Hills,9.4,39.5,817,2457,2391,0.4,41.8,41.1,14.9,650,6.5,2890,8.6,90,2.8,2.8,13804,2084
Holsworthy,6.3,25.7,910,2179,2172,2.9,14.5,52.9,30.7,480,10.7,2167,11.6,80.8,19,0,11926,2173
Cambridge Park,15.8,10.5,680,1559,1429,0,28.2,38.2,31.4,360,12.1,1749,9.2,86.4,12.4,0.8,10768,2747
Werrington County,11.3,14.6,749,1858,1799,0,35.9,45.5,15.8,390,5.8,1907,8.3,98.8,1.2,0,14236,2747
Cambridge Gardens,14.5,15,750,1905,1766,1.1,30,48.8,18.5,379,6.9,1907,10.3,98.7,1.3,0,10767,2747
Emu Plains,17.6,18.6,719,2020,1685,0,38.9,38.5,19.5,400,6.9,2167,8.4,83,11.3,2,11418,2750
Leonay,8.2,30,901,2311,2153,0,41.6,45.7,10.6,495,3.9,2167,7,98.9,1.1,0,12304,2750
Emu Heights,10.4,25,808,2193,2080,0.3,32.2,50.6,15,415,4.9,2000,7.3,98.6,1.4,0,11417,2750
Jamisontown,18.9,11.1,734,1714,1385,0.7,28.6,31.6,36.8,360,17.1,1890,7,57,16.3,25.9,12000,2750
South Penrith,15.5,14.2,712,1795,1573,0.8,33.5,38.5,25.4,390,10.7,2000,7.8,92.8,7,0.1,13596,2750
Claremont Meadows,9.1,21,802,2136,2075,0,18.3,60.1,19.4,400,7.2,2100,12.2,93.5,6.3,0,10918,2747
Colyton,16.9,10.2,621,1534,1415,0,27.6,39.8,28.9,365,11.1,1753,10.3,94.9,4,0.8,10987,2760
St Marys,22.6,6.7,630,1412,1190,0,19.9,24.5,50.8,350,23.4,1703,7,54.8,25.8,18.8,13643,2760
Lidcombe,17.8,18,524,1495,1571,21.4,25.2,30.7,39.5,470,19,2100,9.5,49.9,21.1,27.9,12316,2141
Berala,21.3,12.3,472,1317,1319,30.7,32.2,23.9,40.3,380,20.4,1733,7.1,60.3,12.4,25.4,10299,2141
Regents Park,23.6,10.8,479,1336,1203,19,26.1,25.9,43.8,370,21.6,1709,7.7,64.8,4.3,29.4,13345,2143
Epping,14.6,28.1,712,2146,1973,32.6,33.7,29.9,33.6,530,14,2210,8.4,55.5,12,32.2,11428,2121
Rydalmere,19.7,18,645,1808,1553,15.4,23.9,35,38,400,16.2,2167,9.2,57.5,34.8,7.3,13453,2116
Parramatta,14.3,17,755,1802,1739,16.3,10.7,17.4,68.4,430,23,1874,5.5,10.2,6.7,81.6,13156,2150
Ermington,20.9,19.4,647,1880,1620,12,25.2,32.3,39.5,277,14.6,2461,9.3,68.3,23.9,6.8,11435,2115
Dundas,15.9,18.2,619,1844,1701,20.6,26.6,38.7,32.5,430,13.8,2167,12.1,52.9,39.7,6.7,11312,2117
Melrose Park,13.7,32.5,789,2298,2091,11.600000000000001,40.1,44,14.5,495,5.5,2800,12.9,92.9,7.1,0,12563,2114
Oatlands,14.1,27.4,705,2110,1922,13.2,37.1,36,24.2,500,9.4,2383,10.9,61.7,35.3,2.3,13063,2117
Dundas Valley,21.9,19.7,619,1833,1551,20.9,23.1,36.4,36.4,350,15.1,2200,10.6,66.6,28.8,4,11313,2117
Carramar,32,5.3,452,1085,926,7,22.6,23.3,47.8,290,26.2,1335,8.5,38.4,4.4,56,10826,2163
Old Guildford,21,11.3,462,1265,1286,4.3,31.3,33.7,29.3,390,15.7,2000,13.1,88.5,8.2,2.3,13077,2161
Fairfield East,29,10,404,1162,1057,8.1,24.8,27.3,42.6,278,21.2,1900,10.2,72.5,13,14.1,11478,2165
Fairfield,29,6.5,396,1067,975,0,21.3,19.4,55,350,33.6,1625,6.4,39.6,13.4,46,11477,2165
Guildford West,18.8,11.3,537,1463,1388,2.1,28.8,39.2,28.6,410,13.2,2010,15,77,20.8,1.3,11791,2161
Woodpark,14.7,13.5,576,1660,1577,2.1,34.7,44.5,18,450,8.8,2071,14.6,88.5,10.9,0,14390,2164
South Wentworthville,18.5,16.3,616,1612,1469,5,27.1,34.9,34.3,420,16.2,2100,11.3,58.9,38,2.6,13599,2145
North Parramatta,19.5,14.8,729,1817,1524,8.9,15.7,25.8,54.3,400,21.7,1950,6.3,23.7,16.6,59.1,13001,2151
Winston Hills,13.9,27.1,776,2222,2011,5.4,40,44.2,11.3,500,3.5,2400,9.9,89.5,3.5,6.9,14335,2153
Old Toongabbie,16,19.9,731,1971,1700,2.1,37.5,41.5,17.5,420,7.6,2154,9.3,86.4,13,0.6,13081,2146
Mays Hill,16.8,17.8,577,1678,1639,3.6,25.6,21.9,48.4,440,21,1885,4.9,68.8,22.3,8.8,12538,2145
Denistone East,11.6,30.2,751,2163,2129,26.7,41.8,38.3,16.8,600,7.3,2200,9.6,77.2,21.7,0.6,11239,2112
Denistone West,11.5,33.7,795,2281,2128,21,43,44.4,9.1,560,4.3,2500,13.3,97.9,1,1,11240,2114
Gladesville,16.6,29.9,934,2515,1922,6.3,28.5,32.1,36.8,420,14.7,2500,6.3,49.5,8.9,41,11638,2111
Henley,5.3,48.1,1114,3568,3035,8.9,46.7,34,17.3,545,3.5,2700,5.8,80.5,17.4,2,11891,2111
Hunters Hill,14.1,46.3,939,3535,2700,4.8,38.9,34.2,22.2,500,8,3500,8.5,68.8,11.4,19.4,11954,2110
Macquarie Park,19.1,15.6,658,1996,1631,20.3,12.5,17.2,66.7,460,27.6,2000,4.5,0.3,18.8,79.6,12437,2113
Marsfield,20.8,19.8,624,2011,1641,29.400000000000002,29.3,26.1,38.7,485,16.7,2167,8,32.2,45.6,21,12506,2122
Ryde,17.7,22.3,756,2040,1714,15.6,26.3,29.3,41.2,465,17.6,2200,7.8,43.9,11.3,44.2,13454,2112
East Ryde,11.9,42.6,900,2844,2585,6.8,49,39.3,9.3,675,3,2817,6.6,93.5,6.2,0.4,11361,2113
Meadowbank,13.8,17.4,945,2026,1704,21.6,12.5,25.7,60.5,430,24.3,2076,6.3,3,0.5,96.3,12550,2114
West Ryde,16.2,19.4,742,1903,1677,19.5,25.4,27.2,44.8,410,18,2100,7.4,41,9.7,48.1,14251,2114
Heckenberg,29.6,8.7,426,1023,968,0,21.2,27,45.8,271,20.8,1756,9.8,85.2,7.5,7.3,11887,2168
Miller,43.2,3.9,391,936,739,0,16.9,19.4,59.5,165,24,1452,6.6,68.1,3.8,28.1,12617,2168
Sadleir,35.1,5.8,405,1054,861,0,19.7,25,51.3,209,22.9,1691,9.6,86.7,2.5,9.8,13461,2168
Hinchinbrook,11.1,17.8,591,1712,1790,0,26,50.6,20.5,450,9.1,2000,14.9,88,11.8,0.1,11915,2168
Horningsea Park,8.8,22.6,690,2028,2084,0,17.9,60.2,19.7,500,9.3,2167,16.5,99.2,0.8,0,11935,2171
West Hoxton,7.9,27,707,2111,2171,0,22.1,59.7,15.5,501,6.3,2244,17.1,94.4,5.3,0,14246,2171
Bonnyrigg Heights,13.4,19.6,508,1562,1679,0,37.3,43.3,16.7,430,7.8,2000,14.1,96.5,3.3,0,10472,2177
Bonnyrigg,24.6,11.1,427,1236,1196,4.7,24.8,29.3,42.8,290,21.9,1900,10,77.1,21.8,0.7,10471,2177
Cabramatta,30.8,6.3,397,986,968,16,26.4,21.9,47,310,25.9,1371,8.1,37.9,22.1,39.3,10740,2166
Mount Pritchard,24.7,10.7,464,1278,1191,0,30,35,30.8,346,14.3,1883,12,87.2,10.2,2.2,12785,2170
Cabramatta West,23.6,11.6,409,1147,1189,8.3,32.3,27.1,35.7,350,17,1768,8.4,88.1,9.7,1.1,10741,2166
Edensor Park,15.4,18.7,488,1565,1637,0,38,36.3,22.7,425,10.7,2000,11.3,90.2,8.9,0.5,11377,2176
Fairfield West,19.9,11.4,435,1254,1267,0,35.8,31.7,28.6,420,15.4,1950,11,87.9,6.8,2.6,11480,2165
Fairfield Heights,25.8,7.8,398,1148,1116,0,26.5,22.7,46.4,400,25.9,1993,8.3,55.2,37.7,5.9,11479,2165
Prairiewood,20.8,13.9,444,1379,1344,0,40.8,28.1,28.8,332,13.2,2167,7.7,80.4,15.7,3.9,13258,2176
Wetherill Park,17.1,16.3,494,1529,1525,0,43.5,32.2,20.9,450,9.9,1950,9.6,90,8.2,0.4,14264,2164
Wakeley,18,14,461,1418,1404,0,39.7,36.4,20.3,420,10.1,1950,12.1,86.5,13.2,0.2,14089,2176
Moorebank,13.1,22,746,1972,1889,2.1,29.5,50.5,17.5,450,6.7,2419,15.5,85.2,12.4,2,12712,2170
Hammondville,17.1,16.1,621,1872,1580,0,28.8,43,22.8,420,8.4,2100,9.7,63.8,28.8,7.1,11844,2170
Warwick Farm,32.4,5.3,476,1202,980,2.4,11.7,16.2,67.2,300,32,1517,4.9,23.7,5.8,70.1,14177,2170
Cartwright,43.9,4.7,406,989,740,0,16.8,23.3,53.4,168,24.9,1729,8.7,63.3,5.1,31.6,10838,2168
Lurnea,27.4,6.9,437,1182,1068,0,25.9,31.5,37.9,350,18.5,1842,11.6,75.5,22.2,1.5,12422,2170
Prestons,9.2,22.8,697,1961,1987,0,21.4,58.3,16.2,480,6,2167,18.5,96,3.8,0,13260,2170
Gymea Bay,9.6,40.9,855,2707,2523,1.4,43.5,46.9,7.6,600,2.6,2800,8.9,90.9,7.8,1.1,11827,2227
Gymea,16.7,21.5,825,2160,1763,2.9000000000000004,33.1,33.4,31.3,460,11.5,2383,7.2,45.4,23.5,30,11826,2227
Miranda,19.5,17.4,736,1972,1573,4.6,32.1,31.4,32.7,440,13.1,2226,8.6,46.8,18.9,32.7,12645,2228
Yowie Bay,11,40.6,871,2786,2488,2,48.2,39.1,7.3,685,2.7,2800,7,85.5,5.3,9.2,14519,2228
Taren Point,21,20.8,698,1796,1391,3.6,51.9,22.4,10,545,3.8,2817,7.8,50.7,16.8,32,13766,2229
Caringbah,20.1,17.2,815,2085,1568,3.1,27.8,32.2,37,430,15.2,2208,8.5,29.9,27.5,42.3,10815,2229
Sylvania Waters,12.4,28.4,761,2127,1973,11.3,43.9,38.2,15.6,500,6.3,2700,15.1,80.3,9,10.4,13718,2224
Sylvania,18.1,22.1,717,1990,1649,5.8,42.3,33.1,20.3,440,8.3,2500,10.2,60.9,24.4,14,13717,2224
Kangaroo Point,8.7,57.8,1151,3558,3422,16.1,52,38.3,6.9,850,0,4000,17.5,97.7,2.3,0,12060,2224
Kurnell,14.3,19.4,757,2041,1898,0,35.2,47,14.8,504,5.5,2600,16.4,95.9,2.3,0,12216,2231
Woolooware,13.4,28.4,854,2411,1978,0.4,38.4,38.5,20.2,405,8.5,2200,8.5,60,22.6,17.4,14410,2230
Illawong,8.3,39.1,848,2532,2466,3.4000000000000004,48.6,41.7,7.9,620,2.9,2500,9,92.1,5.1,2.6,11974,2234
Alfords Point,6,42.9,841,2607,2622,1.3,50,44.3,4.2,740,1.7,2400,9,98.7,1.3,0,10031,2234
Barden Ridge,6.2,43.5,849,2775,2772,1.3,36.7,56.7,6,615,1.5,2383,9.3,91.9,7.8,0,10193,2234
Menai,10.4,31.6,843,2388,2238,2.7,33.6,47.1,17.3,520,6.8,2220,9.2,75.2,23.8,1,12567,2234
Bangor,10.3,34.3,848,2418,2289,1.6,45.4,45.5,6.9,598,2.3,2500,8.2,87.8,9.4,2.9,10177,2234
Bonnet Bay,8.1,44.3,959,2792,2706,0,46.2,47.9,5,650,1.7,2600,7.3,99,0.4,0.6,10469,2226
Jannali,18.5,23.9,780,2213,1784,3,31.4,39.7,26.3,380,11,2340,8.7,55.2,25.3,18.6,12001,2226
Oyster Bay,10.2,41.5,918,2799,2594,2.3,39.9,49.6,8.3,580,2.8,2817,10.1,83.8,15,1.2,13112,2225
Como,9.1,40.9,948,2779,2543,2.9000000000000004,38.7,49.2,9.7,550,4.2,2600,8.3,91.9,6.8,0.2,10996,2226
Kareela,11.4,34.4,791,2376,2273,5.5,48.8,45.7,4,600,1.3,2600,8.8,88.7,11,0.3,12073,2232
Kirrawee,18.8,22.2,751,2148,1709,2.6,36.3,35.8,24.1,420,9.2,2400,8.1,59.5,16.4,23.5,12172,2232
Sutherland,16,15.4,909,2082,1667,3.7,22.9,31.9,42.9,425,16.4,2058,7.5,22.8,13.7,63.1,13701,2232
Loftus,12.1,28.8,778,2269,2083,1,42.5,46.7,8.8,535,3,2275,7.5,88.1,11.5,0.2,12371,2232
Engadine,11.9,23.2,803,2152,1962,0.5,37.9,47.1,12.9,430,4.9,2400,10.9,80.6,7.4,11.5,11422,2233
Yarrawarrah,7.4,32.3,871,2408,2288,0.5,43.7,48.1,6.2,550,2.9,2200,8.2,96.8,1.7,1.5,14485,2233
Woronora Heights,5,45.7,851,2832,2843,0.7,40,54,3.9,600,0.7,2383,8.4,97.7,1.6,0.4,14422,2233
