ss,low_income,high_income,p_income,f_income,h_income,chinese_p,owner,mortgage,rent,rental,rent_distress,repay,repay_distress,house,semi,unit,ssc,POA_CODE_2016
Marrickville,16.3,23.8,793,2096,1814,1.7,24.2,27,45.2,450,16.7,2383,5.8,32.4,20.2,45.2,12504,2204
Petersham,13.6,29.9,1017,2647,1966,1.8,18.6,28.6,49.4,440,18.3,2600,5.6,22.4,27.8,46.7,13190,2049
Newtown,13.5,30.5,1067,2694,2080,3.9000000000000004,15.8,22.7,58.4,520,22.6,2600,4,4.2,54,38.9,12960,2042
Lewisham,15.9,28.5,927,2612,1974,1.8,23,29.1,44.6,470,17.8,2510,6.1,37.5,18.7,40.9,12313,2049
Stanmore,11.3,32.9,1067,2656,2179,1.6,22.7,28.4,45.3,500,15.2,2600,5,19.1,39.7,37.6,13650,2048
Camperdown,28,26.5,889,2819,1796,11.9,11.7,21.3,64.3,500,33.8,2516,4.8,2,20.9,76.4,10781,2050
St Peters,10.1,33.2,1134,2654,2318,3.6999999999999997,20,38.1,38.4,600,13.6,2600,7.7,23,46.1,29.1,13644,2044
Sydenham,17.2,25.1,747,2029,1861,4,26.9,35.7,34,550,12.9,2500,9.5,40.1,45.8,9.5,13714,2044
Tempe,14.8,27.4,800,2153,1912,4,31.7,38.7,25.9,530,10.6,2600,7.9,65.8,26.6,6.1,13785,2044
Darlinghurst,13.2,35.3,1285,3095,2158,1.6,15.7,20.6,59.8,560,23.5,2500,4.6,0.5,21.1,77,11212,2010
Erskineville,9.7,39.3,1381,3011,2482,3.9,12.7,34.4,50.1,602,14.8,2600,6.8,3.5,40.2,55.3,11439,2043
Forest Lodge,17.8,34.7,1063,2923,2143,13.600000000000001,14.3,21.2,61.3,600,25.9,2900,5.1,1.6,41.6,55.9,11546,2037
Potts Point,13.1,26.4,1330,2834,1842,1,15.6,15.7,65.9,485,25.9,2126,3.7,0.5,10.1,87.7,13256,2011
Elizabeth Bay,11.4,32,1448,3295,1989,1.2,19.9,16.2,60.3,493,23.3,2324,3.9,0.4,0.7,98.6,11395,2011
Sydney,15.8,27.3,681,1973,1949,18.8,15.7,13.4,65.7,690,35.4,2302,4.5,0.2,0,98.9,13715,2000
Woolloomooloo,23.1,29.8,1107,2614,1794,2.6,12.4,13.5,70.8,500,27.5,2513,3.7,0.4,22.5,76.2,14406,2011
Pyrmont,11.6,37.3,1111,2670,2280,12.8,16.7,19.8,60.6,652,23.8,2597,5.2,1.1,6.5,92.1,13284,2009
Ultimo,33,15.1,386,1751,1230,35.1,11.4,13.6,69.5,554,45.1,2000,3.7,0.2,8.2,90.6,14006,2007
Redfern,26.3,28.7,991,2592,1821,6.6,13.3,20.1,61.7,500,22.6,2500,4.1,0.8,29,68.3,13339,2016
Haymarket,23.4,16.4,463,1341,1505,25.4,12.8,12.3,68.7,750,47.8,2342,5.9,0,0,99.8,11877,2000
Dawes Point,3.9,69.3,1948,4636,3806,5.3,36.6,24.8,33.3,1500,18.8,5200,5.8,1.9,22.8,75.3,11222,2000
Millers Point,10.9,50.6,1525,3668,3062,5.6,26.8,16.8,53.7,900,24.2,3580,5,0.5,8.4,90.7,12619,2000
Balmain East,14.1,43.8,1315,3521,2485,1,33.1,24,40.5,580,12.7,3500,5.1,5.3,53.9,40.1,10165,2041
Waterloo,31.9,23,786,2217,1503,15.899999999999999,6,18.4,70.8,520,29.4,2400,5.6,0.3,9.6,89.7,14183,2017
Zetland,23.7,24.9,877,2247,1758,34.6,9,25.3,62.4,650,31.8,2200,9.8,0.2,7.9,91.4,14524,2017
Beaconsfield,8.5,35.2,1197,2767,2330,7.3,17.4,34.3,43.4,623,17.3,2455,10.1,9.6,50.4,36.7,10239,2015
Bronte,9.8,45.2,1261,3397,2671,0,31.6,28.4,37.1,620,12.5,3500,6.1,31.1,18.9,48.2,10594,2024
Tamarama,8.8,54.7,1414,3713,3348,0,26.2,24.4,46.1,710,15.8,3640,6.2,20.6,15,63.7,13741,2026
Bondi,14.1,35.1,1103,2631,2175,0,20.7,19.9,54.7,620,20.7,2600,4.2,7.4,12.3,77.6,10464,2026
Bondi Beach,11.6,36.7,1241,2874,2253,0,16.5,17.7,61.7,630,23.4,2708,4.2,4.5,11.2,83.9,10465,2026
North Bondi,10.9,42.5,1204,3109,2544,0,25.2,28.4,42.7,650,16.4,3126,6.6,18.9,29.2,51.6,12984,2026
Waverley,14.7,35.9,1048,2947,2138,1.2,23.3,26.3,47.4,550,18.3,3000,5.9,16.4,25.8,56.2,14200,2024
Bondi Junction,15,32.6,1057,2488,2026,3,26.6,19.1,50,630,21.4,2817,4.6,5.6,27.2,61.4,10467,2022
Darling Point,9.3,49.7,1598,3806,2966,2.8,43.9,17.6,34.6,787,11.1,3000,4.1,6.3,5.5,87.3,11211,2027
