,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling,SSC_CODE
Lower Boro,176.0,0.554,0.446,50.0,51.0,1.8,0.5,142.0,2.0,1062.0,1170.0,0.0,1.9,12402
Oallen,141.0,0.555,0.445,50.0,32.0,1.8,0.5,157.0,2.0,966.0,1100.0,0.0,2.0,13062
Braidwood,1651.0,0.479,0.521,46.0,422.0,1.8,0.6,783.0,2.3,1091.0,1700.0,278.0,1.9,10547
Majors Creek (NSW),249.0,0.523,0.47700000000000004,48.0,71.0,1.7,0.5,132.0,2.2,1025.0,1251.0,300.0,1.9,12452
Araluen (NSW),168.0,0.539,0.461,55.0,38.0,1.2,0.2,112.0,1.9,716.0,867.0,150.0,1.9,10070
Monga,14.0,0.7690000000000001,0.231,62.0,0.0,0.0,0.0,26.0,1.4,1125.0,0.0,0.0,1.0,12677
Neringla,19.0,0.526,0.474,66.0,8.0,0.0,0.0,11.0,1.6,824.0,0.0,0.0,2.0,12928
Northangera,43.0,0.4,0.6,57.0,14.0,2.0,0.4,22.0,2.1,1437.0,1917.0,0.0,1.7,13021
Reidsdale,125.0,0.49200000000000005,0.508,49.0,32.0,1.5,0.5,72.0,2.4,1187.0,1542.0,250.0,2.1,13348
Kindervale,18.0,0.789,0.21100000000000002,41.0,3.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,2.0,12144
Jerrabattgulla,11.0,0.429,0.5710000000000001,66.0,3.0,0.0,0.0,10.0,1.7,1124.0,0.0,0.0,3.0,12015
Bendoura,70.0,0.478,0.522,50.0,22.0,1.4,0.5,46.0,2.0,1124.0,1434.0,0.0,2.6,10292
Bombay,117.0,0.525,0.47500000000000003,44.0,28.0,2.2,1.0,62.0,2.5,1281.0,1517.0,125.0,2.0,10456
Harolds Cross,53.0,0.45799999999999996,0.542,46.0,17.0,0.0,0.0,42.0,1.9,1624.0,2900.0,0.0,1.5,11855
Wyanbene,33.0,0.538,0.462,55.0,4.0,1.0,0.3,21.0,2.0,900.0,0.0,0.0,1.4,14433
Jinden,17.0,0.556,0.444,65.0,7.0,0.0,0.0,14.0,2.6,1125.0,0.0,0.0,1.7,12031
Hereford Hall,24.0,0.542,0.45799999999999996,53.0,7.0,1.0,0.3,19.0,2.1,1374.0,0.0,0.0,1.5,11893
Jembaicumbene,41.0,0.429,0.5710000000000001,54.0,14.0,2.0,0.4,21.0,1.8,1625.0,0.0,0.0,2.9,12007
Farringdon,14.0,0.35700000000000004,0.643,59.0,4.0,0.0,0.0,8.0,1.9,649.0,0.0,0.0,1.0,11494
Krawarree,45.0,0.563,0.438,55.0,13.0,0.0,0.0,44.0,1.6,724.0,0.0,0.0,1.7,12203
Ballalaba,22.0,0.545,0.455,59.0,3.0,0.0,0.0,20.0,1.6,824.0,0.0,0.0,1.7,10158
Boro,94.0,0.551,0.449,42.0,19.0,2.6,1.4,35.0,3.3,2049.0,2509.0,0.0,2.3,10514
Durran Durra,107.0,0.514,0.48600000000000004,49.0,29.0,1.8,0.6,48.0,2.2,1542.0,1800.0,0.0,2.0,11334
Mayfield (Queanbeyan-Palerang Regional - NSW),22.0,0.429,0.5710000000000001,48.0,7.0,1.0,0.5,14.0,2.6,1999.0,0.0,0.0,2.0,12532
Warri,109.0,0.51,0.49,41.0,27.0,1.7,0.6,47.0,2.4,2285.0,2600.0,200.0,2.4,14172
Larbert,39.0,0.595,0.405,50.0,11.0,1.0,0.3,27.0,1.9,762.0,1594.0,0.0,2.3,12277
Manar,118.0,0.483,0.517,43.0,31.0,2.1,0.9,46.0,2.8,2249.0,2028.0,350.0,1.9,12462
Tomboye,40.0,0.525,0.47500000000000003,60.0,11.0,0.0,0.0,47.0,1.7,374.0,0.0,0.0,1.8,13893
Corang,13.0,0.429,0.5710000000000001,44.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,11066
Nerriga,72.0,0.62,0.38,54.0,24.0,1.0,0.2,69.0,1.8,754.0,0.0,0.0,2.1,12930
Back Creek (Queanbeyan-Palerang Regional - NSW),12.0,0.33299999999999996,0.667,48.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10126
Mongarlowe,117.0,0.49200000000000005,0.508,55.0,32.0,1.5,0.4,80.0,2.0,949.0,1581.0,98.0,2.0,12678
Wog Wog (Queanbeyan-Palerang Regional - NSW),15.0,0.706,0.294,51.0,3.0,0.0,0.0,16.0,1.6,1374.0,0.0,0.0,4.0,14347
Budawang,11.0,0.4,0.6,62.0,4.0,0.0,0.0,19.0,1.5,1125.0,0.0,0.0,1.5,10636
Charleys Forest,65.0,0.484,0.516,53.0,13.0,1.0,0.1,48.0,1.8,725.0,1300.0,0.0,1.6,10886
Karabar,8247.0,0.494,0.506,37.0,2234.0,1.8,0.8,3385.0,2.6,1692.0,1928.0,300.0,1.9,12071
Queanbeyan,6237.0,0.493,0.507,37.0,1450.0,1.6,0.5,3240.0,2.0,1405.0,1733.0,290.0,1.5,13291
Crestwood,4603.0,0.513,0.48700000000000004,36.0,1130.0,1.7,0.5,2391.0,2.1,1395.0,1733.0,260.0,1.6,11115
Queanbeyan East,3936.0,0.516,0.484,33.0,956.0,1.6,0.5,2131.0,2.1,1328.0,1733.0,270.0,1.5,13292
Greenleigh,684.0,0.504,0.49600000000000005,48.0,203.0,1.9,0.9,254.0,3.0,2843.0,2167.0,350.0,2.5,11767
The Ridgeway,163.0,0.5529999999999999,0.44700000000000006,51.0,45.0,1.7,0.6,62.0,2.4,2812.0,2500.0,500.0,2.8,13836
Bungendore,4178.0,0.502,0.498,38.0,1156.0,1.9,1.0,1508.0,2.9,2514.0,2383.0,450.0,2.4,10684
Lake George,98.0,0.505,0.495,44.0,30.0,1.7,0.7,41.0,2.9,2625.0,2600.0,250.0,3.0,12246
Sutton (NSW),1660.0,0.52,0.48,44.0,384.0,2.0,0.9,578.0,2.9,2371.0,2600.0,350.0,2.7,13702
Carwoola,1428.0,0.53,0.47000000000000003,45.0,406.0,2.0,0.8,532.0,2.9,2630.0,2600.0,350.0,2.6,10841
Forbes Creek,68.0,0.523,0.47700000000000004,49.0,12.0,1.0,0.2,31.0,1.7,2083.0,1993.0,150.0,2.0,11537
Hoskinstown,189.0,0.495,0.505,42.0,52.0,1.9,1.0,81.0,2.8,2333.0,2009.0,350.0,2.7,11944
Rossi,95.0,0.42200000000000004,0.578,34.0,23.0,1.7,1.2,40.0,3.1,2125.0,2500.0,0.0,2.4,13419
Captains Flat,610.0,0.532,0.46799999999999997,38.0,153.0,1.8,0.7,299.0,2.2,1388.0,1417.0,285.0,1.8,10804
Burra (Queanbeyan-Palerang Regional - NSW),794.0,0.49100000000000005,0.509,46.0,218.0,1.9,0.8,301.0,2.8,2550.0,2600.0,340.0,2.5,10697
The Angle,88.0,0.516,0.484,46.0,25.0,1.3,0.5,33.0,2.9,1850.0,2500.0,0.0,2.8,13812
Clear Range,36.0,0.629,0.371,45.0,9.0,2.0,0.9,21.0,2.6,1625.0,1800.0,0.0,1.8,10926
Williamsdale,63.0,0.5970000000000001,0.40299999999999997,45.0,12.0,2.0,0.5,26.0,2.8,2583.0,2167.0,0.0,3.0,14298
Mount Fairy,205.0,0.536,0.46399999999999997,47.0,62.0,1.9,0.7,93.0,2.4,1875.0,2167.0,250.0,2.5,12758
Mulloon,144.0,0.449,0.551,46.0,42.0,1.6,0.7,62.0,2.9,2200.0,2531.0,210.0,2.3,12827
Royalla,984.0,0.513,0.48700000000000004,41.0,272.0,2.0,1.1,312.0,3.4,3069.0,2817.0,527.0,2.8,13434
Jingera,39.0,0.6759999999999999,0.324,53.0,7.0,1.0,0.5,28.0,2.0,1687.0,0.0,0.0,3.1,12034
Anembo,66.0,0.578,0.42200000000000004,43.0,14.0,2.0,0.8,33.0,2.8,1375.0,1950.0,90.0,2.2,10055
Tinderry,66.0,0.531,0.469,46.0,15.0,1.0,0.2,37.0,2.0,2062.0,1668.0,0.0,1.9,13873
Yarrow,6.0,0.5,0.5,28.0,4.0,0.0,0.0,3.0,0.0,1499.0,0.0,0.0,0.0,14489
Primrose Valley,146.0,0.514,0.48600000000000004,40.0,41.0,1.9,0.7,70.0,2.4,2031.0,2350.0,300.0,2.6,13265
Urila,142.0,0.493,0.507,43.0,29.0,1.9,0.9,56.0,2.7,2166.0,2501.0,400.0,2.6,14059
Tarago,426.0,0.521,0.479,44.0,124.0,1.7,0.7,184.0,2.6,1645.0,1578.0,220.0,2.1,13758
Currawang,182.0,0.503,0.49700000000000005,42.0,49.0,1.7,0.7,86.0,2.4,2200.0,2100.0,0.0,2.3,11177
Googong,2690.0,0.495,0.505,32.0,740.0,1.9,1.1,897.0,3.1,2813.0,2600.0,480.0,2.4,11704
Wamboin,1708.0,0.501,0.499,44.0,470.0,1.9,0.9,604.0,3.0,3012.0,2600.0,365.0,2.6,14123
Bywong,1322.0,0.506,0.494,45.0,390.0,1.8,0.8,509.0,2.8,2450.0,2426.0,340.0,2.5,10735
Michelago,562.0,0.505,0.495,39.0,139.0,2.0,0.9,213.0,2.9,2250.0,2500.0,370.0,2.3,12598
Tralee,8.0,0.636,0.364,58.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13931
Jerrabomberra,9508.0,0.501,0.499,36.0,2646.0,2.0,1.1,3289.0,3.1,2820.0,2383.0,415.0,2.2,12016
Queanbeyan West,3136.0,0.489,0.511,34.0,822.0,1.8,0.8,1321.0,2.6,1817.0,1950.0,320.0,1.9,13293
Delegate,351.0,0.534,0.466,54.0,83.0,1.8,0.5,224.0,1.9,854.0,732.0,80.0,1.8,11233
Bombala,1387.0,0.504,0.49600000000000005,45.0,354.0,1.8,0.6,698.0,2.2,1090.0,1049.0,175.0,1.8,10455
Bungarby,71.0,0.513,0.48700000000000004,50.0,18.0,2.0,0.3,38.0,1.5,1024.0,0.0,0.0,2.4,10681
Palarang,58.0,0.49100000000000005,0.509,39.0,15.0,1.6,0.6,27.0,2.1,1312.0,0.0,48.0,2.0,13126
Merriangaah,5.0,0.375,0.625,51.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12581
Craigie (NSW),26.0,0.531,0.469,65.0,9.0,0.0,0.0,20.0,2.0,725.0,0.0,0.0,2.0,11104
Tombong,14.0,0.588,0.41200000000000003,60.0,3.0,0.0,0.0,16.0,1.3,574.0,0.0,0.0,1.0,13892
Quidong,10.0,0.583,0.41700000000000004,48.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,13298
Mila,45.0,0.425,0.5750000000000001,40.0,9.0,0.0,0.0,18.0,1.7,1375.0,684.0,0.0,1.9,12611
Corrowong,13.0,0.667,0.33299999999999996,61.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11084
Cathcart (NSW),108.0,0.469,0.531,51.0,32.0,1.7,0.7,58.0,2.6,1125.0,1500.0,100.0,2.3,10855
Bibbenluke,87.0,0.511,0.489,49.0,26.0,1.7,0.7,48.0,2.5,1156.0,780.0,0.0,2.1,10337
Glen Allen,17.0,0.563,0.438,54.0,6.0,0.0,0.0,11.0,2.0,1625.0,0.0,0.0,1.5,11644
Ando,72.0,0.563,0.43700000000000006,47.0,18.0,1.6,0.7,39.0,2.0,1031.0,0.0,150.0,2.1,10054
Creewah,36.0,0.517,0.483,52.0,7.0,4.0,0.8,38.0,1.5,1024.0,823.0,0.0,2.2,11111
Rockton,30.0,0.52,0.48,47.0,11.0,1.0,0.4,13.0,2.0,700.0,0.0,0.0,2.4,13382
Lords Hill,22.0,0.375,0.625,43.0,9.0,1.6,1.1,15.0,2.2,1062.0,0.0,160.0,2.0,12388
Rosemeath,20.0,0.381,0.619,54.0,6.0,0.0,0.0,13.0,1.0,1125.0,0.0,0.0,1.5,13411
Cooma (NSW),6681.0,0.503,0.49700000000000005,45.0,1683.0,1.8,0.6,3273.0,2.2,1006.0,1179.0,225.0,1.6,11036
Polo Flat,24.0,0.533,0.467,41.0,3.0,1.0,0.3,16.0,2.0,1187.0,0.0,154.0,1.7,13238
Pine Valley,32.0,0.533,0.467,42.0,8.0,1.4,1.0,7.0,3.4,1375.0,0.0,0.0,2.0,13217
Kosciuszko National Park,574.0,0.608,0.392,36.0,63.0,1.7,0.2,612.0,1.8,1410.0,550.0,245.0,1.4,12199
Old Adaminaby,31.0,0.457,0.543,58.0,14.0,1.0,0.3,82.0,1.9,900.0,0.0,0.0,2.0,13072
Buckenderra,21.0,0.542,0.45799999999999996,69.0,3.0,0.0,0.0,11.0,2.0,762.0,0.0,0.0,1.3,10632
Braemar Bay,21.0,0.667,0.33299999999999996,68.0,3.0,0.0,0.0,20.0,1.4,575.0,0.0,0.0,1.9,10546
Frying Pan,4.0,0.429,0.5710000000000001,66.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,11573
Adaminaby,301.0,0.528,0.47200000000000003,55.0,85.0,1.9,0.5,239.0,1.9,783.0,1000.0,150.0,1.8,10015
Nimmitabel,320.0,0.517,0.483,52.0,84.0,2.0,0.5,185.0,2.0,786.0,758.0,163.0,1.9,12966
Yaouk,25.0,0.55,0.45,64.0,4.0,0.0,0.0,32.0,1.6,962.0,0.0,0.0,2.3,14466
Shannons Flat,78.0,0.614,0.386,55.0,24.0,1.3,0.3,56.0,2.2,1125.0,1494.0,0.0,2.1,13528
Bolaro,39.0,0.5,0.5,61.0,11.0,0.0,0.0,33.0,1.7,833.0,0.0,0.0,2.0,10446
Carlaminda,36.0,0.48700000000000004,0.513,33.0,6.0,3.0,3.0,10.0,0.0,2166.0,1480.0,0.0,0.0,10817
Dangelong,6.0,0.5710000000000001,0.429,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11201
Glen Fergus,6.0,0.5,0.5,68.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,11648
Rock Flat,77.0,0.48700000000000004,0.513,46.0,22.0,2.0,0.7,36.0,2.9,1625.0,2383.0,0.0,2.2,13376
Middle Flat,54.0,0.542,0.45799999999999996,50.0,13.0,2.0,1.1,19.0,2.7,1437.0,1950.0,0.0,2.2,12605
Numeralla,258.0,0.514,0.48600000000000004,46.0,64.0,2.0,0.8,136.0,2.6,1140.0,1372.0,250.0,2.2,13039
Colinton (NSW),127.0,0.49200000000000005,0.508,43.0,37.0,2.2,0.8,47.0,2.8,1687.0,2383.0,0.0,2.4,10968
Bumbalong,24.0,0.5,0.5,44.0,3.0,0.0,0.0,14.0,0.0,2124.0,2838.0,0.0,1.6,10667
Greenlands (Snowy Monaro Regional - NSW),18.0,0.5,0.5,46.0,3.0,0.0,0.0,17.0,0.0,900.0,0.0,0.0,2.0,11766
Steeple Flat,37.0,0.595,0.405,47.0,11.0,1.5,0.6,21.0,2.3,1292.0,1476.0,0.0,2.2,13657
Kybeyan,37.0,0.605,0.395,44.0,11.0,1.9,0.9,38.0,2.1,1042.0,480.0,0.0,2.0,12224
Countegany,34.0,0.5810000000000001,0.419,56.0,8.0,1.0,0.2,24.0,1.8,725.0,1333.0,0.0,2.0,11089
Tuross,13.0,0.5710000000000001,0.429,50.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.5,13978
Winifred,29.0,0.6,0.4,41.0,10.0,2.0,0.7,23.0,2.2,1125.0,1733.0,0.0,2.0,14333
Wambrook,44.0,0.521,0.479,45.0,10.0,1.0,0.2,21.0,2.4,1062.0,950.0,0.0,2.3,14125
Rhine Falls,42.0,0.488,0.512,40.0,14.0,1.5,0.5,20.0,2.8,1624.0,932.0,0.0,2.3,13357
Dairymans Plains,152.0,0.513,0.48700000000000004,45.0,48.0,1.7,0.6,71.0,2.6,1833.0,1902.0,80.0,2.3,11188
Dry Plain,42.0,0.526,0.474,50.0,10.0,0.0,0.0,36.0,1.5,1300.0,0.0,170.0,1.9,11295
Binjura,321.0,0.478,0.522,44.0,88.0,2.1,0.8,132.0,2.6,1786.0,1560.0,275.0,2.2,10370
Peak View,52.0,0.5579999999999999,0.44200000000000006,58.0,12.0,1.0,0.2,35.0,1.9,1312.0,1364.0,0.0,2.8,13167
Jerangle,96.0,0.485,0.515,40.0,28.0,1.8,0.7,50.0,2.3,1770.0,2000.0,40.0,2.3,12011
Badja,6.0,1.0,0.0,63.0,3.0,0.0,0.0,7.0,0.0,762.0,0.0,0.0,2.0,10133
Rose Valley (Snowy Monaro Regional - NSW),33.0,0.406,0.594,46.0,8.0,0.0,0.0,14.0,2.0,900.0,2167.0,0.0,1.7,13400
Bunyan,152.0,0.48,0.52,49.0,42.0,1.8,0.7,75.0,2.4,1089.0,1950.0,0.0,2.1,10691
Chakola,47.0,0.478,0.522,51.0,15.0,1.0,0.2,33.0,1.6,949.0,2204.0,0.0,2.2,10881
Billilingra,13.0,0.615,0.385,54.0,3.0,0.0,0.0,7.0,1.0,1374.0,0.0,0.0,0.0,10353
Murrumbucca,84.0,0.489,0.511,51.0,24.0,1.7,0.6,51.0,2.5,1374.0,1300.0,250.0,2.1,12862
Bredbo,352.0,0.501,0.499,43.0,88.0,2.0,0.8,132.0,2.7,1681.0,1733.0,250.0,1.9,10559
Coolringdon,67.0,0.5,0.5,51.0,23.0,1.6,0.4,35.0,2.3,1875.0,1083.0,135.0,2.9,11033
Springfield (Snowy Monaro Regional - NSW),39.0,0.474,0.526,44.0,11.0,1.6,0.7,17.0,2.8,1875.0,0.0,0.0,2.5,13624
Maffra (NSW),21.0,0.28600000000000003,0.7140000000000001,49.0,3.0,0.0,0.0,18.0,1.0,900.0,0.0,0.0,1.7,12440
Myalla (NSW),7.0,1.0,0.0,52.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12874
Arable,12.0,0.6920000000000001,0.308,56.0,3.0,0.0,0.0,8.0,1.0,2250.0,0.0,0.0,1.5,10068
Bobundara,13.0,0.5,0.5,39.0,8.0,0.0,0.0,9.0,2.0,1125.0,0.0,0.0,2.5,10430
The Brothers,35.0,0.33299999999999996,0.667,40.0,6.0,1.5,0.8,14.0,2.9,1437.0,0.0,0.0,3.0,13815
Anglers Reach,94.0,0.505,0.495,65.0,25.0,1.5,0.3,138.0,1.7,959.0,1500.0,0.0,1.7,10058
Berridale,1197.0,0.52,0.48,44.0,306.0,1.7,0.6,649.0,2.3,1105.0,1192.0,200.0,2.0,10316
Cootralantra,89.0,0.462,0.538,42.0,21.0,1.8,0.9,42.0,2.8,1449.0,1409.0,75.0,1.9,11054
Eucumbene,12.0,0.5,0.5,60.0,0.0,0.0,0.0,6.0,1.0,1024.0,0.0,0.0,1.0,11453
Nimmo,11.0,0.375,0.625,57.0,6.0,0.0,0.0,10.0,2.0,1187.0,0.0,0.0,2.5,12967
Rocky Plain (NSW),64.0,0.47700000000000004,0.523,38.0,17.0,2.0,0.8,20.0,2.9,1312.0,1000.0,0.0,2.3,13387
Middlingbank,14.0,0.7270000000000001,0.273,52.0,4.0,0.0,0.0,12.0,2.0,1749.0,0.0,0.0,2.7,12608
Kalkite,214.0,0.523,0.47700000000000004,44.0,60.0,1.8,0.6,133.0,2.6,1474.0,1213.0,280.0,2.1,12052
Crackenback,197.0,0.556,0.444,41.0,37.0,1.5,0.5,138.0,2.5,1791.0,3800.0,175.0,2.4,11103
Jindabyne,2629.0,0.538,0.462,34.0,560.0,1.7,0.5,2034.0,2.4,1450.0,1590.0,313.0,2.0,12030
Hill Top (Snowy Monaro Regional - NSW),83.0,0.488,0.512,43.0,25.0,1.7,1.0,42.0,2.2,1812.0,1660.0,0.0,2.2,11904
Avonside,118.0,0.48700000000000004,0.513,41.0,37.0,2.5,1.2,50.0,3.3,2049.0,1600.0,0.0,2.8,10117
East Jindabyne,697.0,0.508,0.49200000000000005,42.0,188.0,1.7,0.7,354.0,2.6,1656.0,1870.0,350.0,2.1,11352
Dalgety,205.0,0.5670000000000001,0.433,52.0,55.0,1.8,0.5,169.0,2.3,966.0,867.0,150.0,2.0,11190
Ingebirah,94.0,0.551,0.449,45.0,31.0,1.7,0.6,63.0,2.2,1458.0,1950.0,100.0,2.1,11977
Grosses Plain,31.0,0.525,0.47500000000000003,39.0,8.0,2.0,1.0,18.0,2.7,2124.0,1733.0,0.0,2.2,11787
Moonbah,572.0,0.533,0.467,40.0,145.0,1.9,0.8,254.0,2.8,1696.0,1831.0,250.0,2.2,12698
Ironmungy,3.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11986
Beloka,17.0,0.524,0.47600000000000003,45.0,6.0,0.0,0.0,6.0,2.0,1749.0,0.0,0.0,2.0,10281
Numbla Vale,36.0,0.488,0.512,49.0,7.0,1.0,0.2,26.0,1.4,1292.0,2167.0,0.0,2.5,13037
Jimenbuen,35.0,0.568,0.43200000000000005,37.0,12.0,0.0,0.0,28.0,2.0,1375.0,0.0,0.0,2.0,12028
Paupong,13.0,0.765,0.23500000000000001,55.0,6.0,0.0,0.0,8.0,2.0,575.0,0.0,0.0,0.0,13161
Catalina,2334.0,0.483,0.517,53.0,609.0,1.8,0.6,1168.0,2.2,921.0,1300.0,280.0,1.6,10853
Batemans Bay,1530.0,0.49700000000000005,0.503,53.0,328.0,1.8,0.4,1095.0,1.8,703.0,1300.0,230.0,1.2,10229
Nelligen,332.0,0.48100000000000004,0.519,53.0,102.0,1.6,0.4,210.0,2.1,1033.0,1300.0,320.0,2.2,12920
Long Beach,1436.0,0.494,0.506,51.0,435.0,1.9,0.6,904.0,2.4,1230.0,1600.0,350.0,2.1,12376
Benandarah,166.0,0.58,0.42,55.0,32.0,1.9,0.4,103.0,2.0,739.0,1422.0,150.0,1.7,10287
North Batemans Bay,558.0,0.498,0.502,54.0,152.0,1.8,0.5,351.0,2.1,929.0,1658.0,250.0,1.6,12982
Surfside,1371.0,0.495,0.505,44.0,377.0,2.0,0.7,769.0,2.4,910.0,1452.0,280.0,1.7,13698
Maloneys Beach,371.0,0.47200000000000003,0.528,53.0,110.0,1.7,0.5,257.0,2.3,1018.0,1508.0,315.0,1.8,12460
Lilli Pilli (Eurobodalla - NSW),629.0,0.46299999999999997,0.537,55.0,187.0,1.7,0.5,420.0,2.3,1260.0,1400.0,330.0,1.9,12321
Malua Bay,1929.0,0.502,0.498,51.0,557.0,1.8,0.5,1382.0,2.3,1137.0,1517.0,335.0,2.0,12461
Surf Beach (NSW),1874.0,0.47100000000000003,0.529,53.0,514.0,1.7,0.5,1303.0,2.2,907.0,1402.0,265.0,1.6,13697
Denhams Beach,648.0,0.49700000000000005,0.503,61.0,137.0,2.0,0.6,410.0,2.2,1065.0,1733.0,323.0,1.7,11236
Sunshine Bay,1221.0,0.456,0.544,55.0,371.0,1.8,0.5,728.0,2.2,960.0,1500.0,286.0,1.6,13695
Rosedale (NSW),221.0,0.533,0.467,55.0,69.0,1.5,0.4,263.0,2.4,1192.0,2084.0,225.0,2.1,13407
Guerilla Bay,53.0,0.48,0.52,63.0,13.0,1.0,0.2,105.0,1.5,1375.0,0.0,0.0,1.6,11789
Batehaven,1776.0,0.46299999999999997,0.537,54.0,460.0,1.7,0.5,1186.0,2.0,901.0,1509.0,265.0,1.5,10228
Bega,4668.0,0.48100000000000004,0.519,43.0,1199.0,1.8,0.7,2124.0,2.3,974.0,1357.0,270.0,1.6,10253
Tathra,1675.0,0.502,0.498,52.0,443.0,1.7,0.5,981.0,2.1,1087.0,1430.0,260.0,1.6,13774
Kalaru,708.0,0.51,0.49,42.0,176.0,2.0,0.8,290.0,2.5,1257.0,1517.0,305.0,1.9,12051
Wallagoot,518.0,0.466,0.534,49.0,141.0,1.8,0.7,222.0,2.4,1152.0,1366.0,290.0,2.0,14103
Jellat Jellat,84.0,0.413,0.5870000000000001,47.0,21.0,1.6,1.0,34.0,2.3,1333.0,1350.0,0.0,2.3,12005
Bournda,152.0,0.539,0.461,46.0,36.0,1.6,0.6,70.0,2.3,1104.0,2167.0,220.0,1.8,10524
Black Range (NSW),202.0,0.478,0.522,40.0,48.0,2.0,0.9,76.0,3.0,1321.0,1517.0,230.0,2.1,10388
Tarraganda,334.0,0.484,0.516,50.0,99.0,1.8,0.7,141.0,2.5,1562.0,1365.0,220.0,2.0,13768
Chinnock,22.0,0.52,0.48,51.0,9.0,1.0,0.5,6.0,3.0,1791.0,1257.0,0.0,2.0,10906
Reedy Swamp,81.0,0.446,0.554,45.0,23.0,1.8,0.8,31.0,2.7,1062.0,1517.0,0.0,1.9,13343
Doctor George Mountain,58.0,0.47600000000000003,0.524,48.0,16.0,1.5,0.4,22.0,2.7,1625.0,997.0,0.0,2.1,11263
Mogareeka,56.0,0.49100000000000005,0.509,58.0,17.0,1.4,0.4,37.0,1.6,1125.0,896.0,0.0,1.7,12656
Kanoona,143.0,0.467,0.533,38.0,39.0,1.9,1.0,46.0,3.1,1666.0,1636.0,0.0,2.5,12066
Frogs Hollow,113.0,0.544,0.456,38.0,31.0,2.1,0.9,39.0,2.8,1125.0,1445.0,200.0,2.5,11572
Toothdale,172.0,0.525,0.47500000000000003,44.0,54.0,1.9,0.7,74.0,2.6,1325.0,1603.0,228.0,2.3,13914
Kingswood (Bega Valley - NSW),7.0,0.5,0.5,26.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,12162
Wolumla,703.0,0.49600000000000005,0.504,46.0,197.0,2.0,0.7,286.0,2.5,1130.0,1383.0,260.0,2.0,14362
Yellow Pinch,51.0,0.49,0.51,55.0,13.0,1.0,0.2,22.0,2.4,900.0,1073.0,0.0,2.2,14501
South Wolumla,174.0,0.489,0.511,44.0,54.0,1.7,0.6,70.0,2.7,1562.0,1928.0,150.0,2.1,13602
Wyndham (NSW),386.0,0.51,0.49,51.0,96.0,1.5,0.4,195.0,2.1,783.0,867.0,135.0,2.0,14443
Myrtle Mountain,52.0,0.542,0.45799999999999996,56.0,19.0,1.0,0.2,25.0,2.2,1312.0,1246.0,0.0,2.0,12880
Devils Hole,17.0,0.684,0.316,57.0,6.0,1.0,0.3,16.0,2.0,1125.0,0.0,0.0,2.0,11246
Narrabarba,12.0,0.643,0.35700000000000004,57.0,4.0,0.0,0.0,12.0,1.3,850.0,1235.0,0.0,1.0,12901
Wonboyn,103.0,0.519,0.48100000000000004,61.0,34.0,2.0,0.1,109.0,2.0,782.0,975.0,0.0,1.8,14369
Timbillica,9.0,0.375,0.625,56.0,4.0,0.0,0.0,6.0,2.0,725.0,0.0,0.0,0.0,13869
Kiah,142.0,0.53,0.47000000000000003,55.0,34.0,1.4,0.2,72.0,1.9,749.0,1138.0,120.0,1.6,12115
Towamba,234.0,0.542,0.45799999999999996,53.0,67.0,1.8,0.5,144.0,2.1,729.0,867.0,125.0,1.7,13927
Pericoe,13.0,0.6,0.4,62.0,0.0,0.0,0.0,17.0,1.0,462.0,0.0,0.0,1.0,13187
Burragate,104.0,0.444,0.556,56.0,29.0,1.4,0.2,59.0,1.8,687.0,850.0,0.0,1.6,10703
Lochiel (NSW),354.0,0.518,0.48200000000000004,46.0,99.0,1.7,0.7,144.0,2.6,1281.0,1530.0,148.0,2.2,12367
Nethercote,341.0,0.507,0.493,48.0,103.0,1.8,0.7,142.0,2.6,1273.0,1400.0,318.0,2.3,12932
Nullica,8.0,0.5,0.5,60.0,3.0,0.0,0.0,7.0,0.0,900.0,0.0,0.0,0.0,13033
Candelo,686.0,0.49,0.51,47.0,190.0,1.9,0.6,332.0,2.2,1029.0,1200.0,220.0,1.8,10788
Tantawangalo,156.0,0.506,0.494,45.0,37.0,1.7,0.6,80.0,2.7,1125.0,1275.0,25.0,1.8,13753
Bemboka,577.0,0.506,0.494,51.0,154.0,2.3,0.6,326.0,2.1,870.0,1192.0,170.0,1.9,10284
