,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling,SSC_CODE
Capeen Creek,5.0,0.5,0.5,54.0,4.0,0.0,0.0,8.0,0.0,649.0,0.0,0.0,0.0,10801
Upper Duck Creek,6.0,0.5,0.5,58.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14023
Bean Creek,75.0,0.528,0.47200000000000003,55.0,20.0,2.0,0.3,41.0,2.3,780.0,520.0,0.0,2.0,10240
Tooloom,24.0,0.652,0.348,52.0,10.0,2.0,0.5,8.0,2.8,1125.0,3071.0,0.0,2.0,13904
Old Bonalbo,77.0,0.547,0.45299999999999996,52.0,16.0,2.0,0.2,42.0,1.7,675.0,802.0,50.0,1.5,13074
Yabbra,4.0,0.3,0.7000000000000001,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14450
Haystack,6.0,0.625,0.375,54.0,3.0,0.0,0.0,8.0,1.5,999.0,0.0,0.0,1.8,11878
Duck Creek,57.0,0.579,0.42100000000000004,50.0,19.0,1.9,0.6,31.0,2.4,949.0,1250.0,0.0,2.4,11297
Paddys Flat (Kyogle - NSW),15.0,0.444,0.556,37.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,13116
Deep Creek (Kyogle - NSW),30.0,0.5,0.5,43.0,10.0,2.0,0.4,18.0,2.3,849.0,0.0,0.0,2.1,11230
Sandilands (NSW),11.0,0.5,0.5,24.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,13476
Pagans Flat,3.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13122
Mallanganee,148.0,0.5750000000000001,0.425,52.0,43.0,1.5,0.5,87.0,2.0,743.0,650.0,165.0,1.6,12457
Mummulgum,95.0,0.538,0.462,43.0,25.0,1.6,0.3,42.0,2.2,966.0,1013.0,110.0,1.9,12836
Bingeebeebra Creek,35.0,0.556,0.444,46.0,7.0,2.0,0.6,18.0,2.5,725.0,0.0,0.0,1.3,10366
Dyraaba,98.0,0.505,0.495,51.0,24.0,1.7,0.5,47.0,2.2,840.0,1124.0,250.0,2.1,11339
Theresa Creek (NSW),67.0,0.5,0.5,49.0,16.0,1.5,0.4,34.0,1.6,833.0,0.0,190.0,2.0,13844
Simpkins Creek,22.0,0.667,0.33299999999999996,53.0,7.0,2.0,0.5,8.0,2.0,1187.0,0.0,0.0,1.7,13548
Piora,86.0,0.512,0.488,52.0,29.0,1.2,0.5,36.0,2.7,1178.0,1658.0,0.0,2.2,13223
Dobies Bight,133.0,0.6020000000000001,0.39799999999999996,49.0,35.0,1.6,0.5,56.0,2.3,1274.0,867.0,185.0,1.9,11262
Lower Dyraaba,23.0,0.5,0.5,46.0,9.0,1.0,0.4,13.0,2.0,575.0,0.0,0.0,1.7,12406
Backmede,150.0,0.5,0.5,47.0,40.0,1.8,0.9,60.0,3.0,1375.0,1700.0,231.0,2.4,10130
Stratheden,217.0,0.556,0.444,46.0,66.0,1.7,0.6,86.0,2.4,1187.0,1300.0,185.0,2.3,13674
Woodview,143.0,0.547,0.45299999999999996,46.0,39.0,1.7,0.6,54.0,3.0,1375.0,1117.0,250.0,2.2,14397
Bentley (NSW),197.0,0.5,0.5,51.0,64.0,2.0,0.7,81.0,2.6,985.0,1083.0,225.0,2.1,10298
Naughtons Gap,73.0,0.474,0.526,35.0,21.0,1.6,0.4,32.0,2.6,1406.0,1514.0,230.0,2.0,12916
Spring Grove,431.0,0.521,0.479,42.0,126.0,2.0,0.9,159.0,2.9,1271.0,1588.0,280.0,2.3,13614
Greenridge,157.0,0.516,0.484,28.0,32.0,2.1,1.2,48.0,3.1,1187.0,1733.0,250.0,2.5,11768
McKees Hill,354.0,0.49700000000000005,0.503,40.0,86.0,2.4,1.2,114.0,3.3,1420.0,1721.0,285.0,2.6,12543
Tomki,76.0,0.5,0.5,44.0,20.0,2.7,1.2,26.0,3.0,1374.0,1300.0,0.0,2.0,13897
Tatham,207.0,0.473,0.527,41.0,55.0,2.0,0.7,92.0,2.5,1125.0,1539.0,235.0,2.1,13773
West Coraki,122.0,0.595,0.405,47.0,35.0,1.2,0.4,48.0,2.4,756.0,1733.0,318.0,2.3,14243
Codrington (NSW),68.0,0.532,0.46799999999999997,44.0,15.0,2.0,0.8,26.0,2.8,1375.0,1733.0,155.0,1.9,10957
Bora Ridge,113.0,0.517,0.483,39.0,31.0,1.9,0.9,44.0,2.7,1196.0,1430.0,0.0,2.4,10507
West Bungawalbin,64.0,0.517,0.483,43.0,12.0,3.0,0.7,24.0,3.1,933.0,1073.0,0.0,2.4,14242
Ellangowan (NSW),328.0,0.537,0.46299999999999997,43.0,84.0,1.7,0.6,131.0,2.4,1018.0,1213.0,210.0,2.0,11400
Leeville,247.0,0.502,0.498,41.0,66.0,1.8,0.7,85.0,2.7,1278.0,1365.0,263.0,2.2,12295
Shannon Brook,177.0,0.49700000000000005,0.503,47.0,48.0,1.6,0.7,74.0,2.4,1100.0,1400.0,260.0,2.0,13525
