Suburb_Code,Suburb_Name,State_Code,State_Name
11921,Fairlight,1,New South Wales
11926,Faulconbridge,1,New South Wales
11931,Five Dock,1,New South Wales
11936,Forest Lodge,1,New South Wales
11941,Forestville,1,New South Wales
11946,Frenchs Forest,1,New South Wales
11951,Georges Hall,1,New South Wales
11956,Girraween,1,New South Wales
11961,Gladesville,1,New South Wales
11966,Glebe,1,New South Wales
11971,Glen Alpine,1,New South Wales
11976,Glenbrook,1,New South Wales
11981,Glendenning,1,New South Wales
11986,Glenfield,1,New South Wales
11991,Glenhaven,1,New South Wales
11996,Glenmore Park,1,New South Wales
12001,Glenwood,1,New South Wales
12006,Gordon,1,New South Wales
12011,Granville,1,New South Wales
12016,Grays Point,1,New South Wales
12021,Green Valley,1,New South Wales
12026,Greenacre,1,New South Wales
12031,Greenfield Park,1,New South Wales
12036,Greenwich,1,New South Wales
12041,Greystanes,1,New South Wales
12046,Guildford,1,New South Wales
12051,Guildford West,1,New South Wales
12056,Gymea,1,New South Wales
12061,Gymea Bay,1,New South Wales
12066,Haberfield,1,New South Wales
12071,Hammondville,1,New South Wales
12076,Harbord,1,New South Wales
12081,Harrington Park,1,New South Wales
12086,Harris Park,1,New South Wales
12091,Hassall Grove,1,New South Wales
12096,Haymarket,1,New South Wales
12101,Heathcote,1,New South Wales
12106,Hebersham,1,New South Wales
12111,Heckenberg,1,New South Wales
12116,Henley,1,New South Wales
12121,Hillsdale,1,New South Wales
12126,Hinchinbrook,1,New South Wales
12131,Holsworthy,1,New South Wales
12136,Homebush,1,New South Wales
12141,Homebush Bay,1,New South Wales
12146,Homebush West,1,New South Wales
12151,Horningsea Park,1,New South Wales
12156,Hornsby,1,New South Wales
12161,Hornsby Heights,1,New South Wales
12166,Hoxton Park,1,New South Wales
12171,Hunters Hill,1,New South Wales
12176,Huntleys Point,1,New South Wales
12181,Hurlstone Park,1,New South Wales
12186,Hurstville,1,New South Wales
12191,Hurstville Grove,1,New South Wales
12196,Illawong,1,New South Wales
12201,Ingleburn,1,New South Wales
12206,Ingleside,1,New South Wales
12211,Jamisontown,1,New South Wales
12216,Jannali,1,New South Wales
12221,Kangaroo Point,1,New South Wales
12226,Kareela,1,New South Wales
12231,Kearns,1,New South Wales
12236,Kellyville,1,New South Wales
12241,Kensington,1,New South Wales
12246,Killara,1,New South Wales
12251,Killarney Heights,1,New South Wales
12256,Kings Langley,1,New South Wales
12261,Kings Park,1,New South Wales
12266,Kingsford,1,New South Wales
12271,Kingsgrove,1,New South Wales
12276,Kingswood,1,New South Wales
12281,Kirrawee,1,New South Wales
12286,Kirribilli,1,New South Wales
12291,Kogarah,1,New South Wales
12296,Kogarah Bay,1,New South Wales
12301,Kurnell,1,New South Wales
12306,Kyeemagh,1,New South Wales
12311,Kyle Bay,1,New South Wales
12316,La Perouse,1,New South Wales
12321,Lakemba,1,New South Wales
12326,Lalor Park,1,New South Wales
12331,Lane Cove,1,New South Wales
12336,Lane Cove North,1,New South Wales
12341,Lane Cove West,1,New South Wales
12346,Lansvale,1,New South Wales
12351,Lapstone,1,New South Wales
12356,Lavender Bay,1,New South Wales
12361,Leichhardt,1,New South Wales
12366,Leonay,1,New South Wales
12371,Lethbridge Park,1,New South Wales
12376,Leumeah,1,New South Wales
12381,Lewisham,1,New South Wales
12386,Liberty Grove,1,New South Wales
12391,Lidcombe,1,New South Wales
12396,Lilli Pilli,1,New South Wales
12401,Lilyfield,1,New South Wales
12406,Lindfield,1,New South Wales
12411,Linley Point,1,New South Wales
12416,Little Bay,1,New South Wales
12421,Liverpool,1,New South Wales
12426,Loftus,1,New South Wales
12431,Long Point,1,New South Wales
12436,Longueville,1,New South Wales
12441,Lugarno,1,New South Wales
12446,Lurnea,1,New South Wales
12451,Macquarie Fields,1,New South Wales
12456,Macquarie Links,1,New South Wales
12461,Macquarie Park,1,New South Wales
12466,Malabar,1,New South Wales
12471,Manly,1,New South Wales
12476,Manly Vale,1,New South Wales
12481,Marayong,1,New South Wales
12486,Maroubra,1,New South Wales
12491,Marrickville,1,New South Wales
12496,Marsfield,1,New South Wales
12501,Mascot,1,New South Wales
12506,Matraville,1,New South Wales
12511,Mays Hill,1,New South Wales
12516,McMahons Point,1,New South Wales
12521,Meadowbank,1,New South Wales
12526,Melrose Park,1,New South Wales
12531,Menai,1,New South Wales
12536,Merrylands,1,New South Wales
12541,Merrylands West,1,New South Wales
12546,Middle Cove,1,New South Wales
12551,Miller,1,New South Wales
12556,Millers Point,1,New South Wales
12561,Milperra,1,New South Wales
12566,Milsons Point,1,New South Wales
12571,Minchinbury,1,New South Wales
12576,Minto,1,New South Wales
12581,Miranda,1,New South Wales
12586,Mona Vale,1,New South Wales
12591,Monterey,1,New South Wales
12596,Moorebank,1,New South Wales
12601,Mortdale,1,New South Wales
12606,Mortlake,1,New South Wales
12611,Mosman,1,New South Wales
12616,Mount Annan,1,New South Wales
12621,Mount Colah,1,New South Wales
12626,Mount Druitt,1,New South Wales
12631,Mount Ku-ring-gai,1,New South Wales
12636,Mount Lewis,1,New South Wales
12641,Mount Pritchard,1,New South Wales
12646,Mount Riverview,1,New South Wales
12651,Narellan,1,New South Wales
12656,Narellan Vale,1,New South Wales
12661,Naremburn,1,New South Wales
12666,Narrabeen,1,New South Wales
12671,Narraweena,1,New South Wales
12676,Narwee,1,New South Wales
12681,Neutral Bay,1,New South Wales
12686,Newington,1,New South Wales
12691,Newport,1,New South Wales
12696,Newtown,1,New South Wales
12701,Normanhurst,1,New South Wales
12706,North Balgowlah,1,New South Wales
12711,North Bondi,1,New South Wales
12716,North Curl Curl,1,New South Wales
12721,North Epping,1,New South Wales
12726,North Manly,1,New South Wales
12731,North Narrabeen,1,New South Wales
12736,North Parramatta,1,New South Wales
12741,North Rocks,1,New South Wales
12746,North Ryde,1,New South Wales
12751,North St Marys,1,New South Wales
12756,North Strathfield,1,New South Wales
12761,North Sydney,1,New South Wales
12766,North Turramurra,1,New South Wales
12771,North Wahroonga,1,New South Wales
12776,North Willoughby,1,New South Wales
12781,Northbridge,1,New South Wales
12786,Northmead,1,New South Wales
12791,Northwood,1,New South Wales
12796,Oakhurst,1,New South Wales
12801,Oatlands,1,New South Wales
12806,Oatley,1,New South Wales
12811,Old Guildford,1,New South Wales
12816,Old Toongabbie,1,New South Wales
12821,Osborne Park,1,New South Wales
12826,Oxley Park,1,New South Wales
12831,Oyster Bay,1,New South Wales
12836,Paddington,1,New South Wales
12841,Padstow,1,New South Wales
12846,Padstow Heights,1,New South Wales
12851,Pagewood,1,New South Wales
12856,Palm Beach,1,New South Wales
12861,Panania,1,New South Wales
12871,Parramatta,1,New South Wales
12876,Peakhurst,1,New South Wales
12881,Peakhurst Heights,1,New South Wales
12886,Pendle Hill,1,New South Wales
12891,Pennant Hills,1,New South Wales
12896,Penrith,1,New South Wales
12901,Penshurst,1,New South Wales
12906,Petersham,1,New South Wales
12911,Phillip Bay,1,New South Wales
12916,Picnic Point,1,New South Wales
12921,Plumpton,1,New South Wales
12926,Point Piper,1,New South Wales
12931,Potts Point,1,New South Wales
12936,Prairiewood,1,New South Wales
12941,Prestons,1,New South Wales
12946,Prospect,1,New South Wales
12951,Punchbowl,1,New South Wales
12956,Putney,1,New South Wales
12961,Pymble,1,New South Wales
12966,Pyrmont,1,New South Wales
12971,Quakers Hill,1,New South Wales
12976,Queens Park,1,New South Wales
12981,Raby,1,New South Wales
12986,Ramsgate,1,New South Wales
12991,Ramsgate Beach,1,New South Wales
12996,Randwick,1,New South Wales
13001,Redfern,1,New South Wales
13006,Regents Park,1,New South Wales
13011,Regentville,1,New South Wales
13016,Revesby,1,New South Wales
13021,Revesby Heights,1,New South Wales
13026,Rhodes,1,New South Wales
13031,Riverstone,1,New South Wales
13036,Riverview,1,New South Wales
13041,Riverwood,1,New South Wales
13046,Rockdale,1,New South Wales
13051,Rodd Point,1,New South Wales
13056,Rooty Hill,1,New South Wales
13061,Rose Bay,1,New South Wales
13066,Rosebery,1,New South Wales
13071,Rosehill,1,New South Wales
13076,Roselands,1,New South Wales
13081,Rosemeadow,1,New South Wales
13086,Roseville,1,New South Wales
13091,Roseville Chase,1,New South Wales
13096,Rouse Hill,1,New South Wales
13101,Rozelle,1,New South Wales
13106,Ruse,1,New South Wales
13111,Rushcutters Bay,1,New South Wales
13116,Russell Lea,1,New South Wales
13121,Rydalmere,1,New South Wales
13126,Ryde,1,New South Wales
13131,Sadleir,1,New South Wales
