"RA_2006_CODE","RA_2006_NAME","SSC_2006_CODE","SSC_2006_NAME","RATIO","PERCENT"
"10","Major Cities of Australia","11239","Clyde",1,100
"10","Major Cities of Australia","11241","Collaroy",1,100
"10","Major Cities of Australia","11243","Colyton",1,100
"10","Major Cities of Australia","11245","Como",1,100
"10","Major Cities of Australia","11247","Concord",1,100
"10","Major Cities of Australia","11249","Concord West",1,100
"10","Major Cities of Australia","11251","Condell Park",1,100
"10","Major Cities of Australia","11253","Connells Point",1,100
"10","Major Cities of Australia","11255","Coogee",1,100
"10","Major Cities of Australia","11257","Cranebrook",1,100
"10","Major Cities of Australia","11259","Cremorne",1,100
"10","Major Cities of Australia","11261","Cremorne Point",1,100
"10","Major Cities of Australia","11263","Cromer",1,100
"10","Major Cities of Australia","11265","Cronulla",1,100
"10","Major Cities of Australia","11267","Crows Nest",1,100
"10","Major Cities of Australia","11269","Croydon",1,100
"10","Major Cities of Australia","11271","Croydon Park",1,100
"10","Major Cities of Australia","11273","Curl Curl",1,100
"10","Major Cities of Australia","11275","Currans Hill",1,100
"10","Major Cities of Australia","11277","Daceyville",1,100
"10","Major Cities of Australia","11279","Darling Point",1,100
"10","Major Cities of Australia","11281","Darlinghurst",1,100
"10","Major Cities of Australia","11283","Darlington (Sydney)",1,100
"10","Major Cities of Australia","11285","Davidson",1,100
"10","Major Cities of Australia","11287","Dawes Point",1,100
"10","Major Cities of Australia","11289","Dean Park",1,100
"10","Major Cities of Australia","11291","Dee Why",1,100
"10","Major Cities of Australia","11293","Denham Court",1,100
"10","Major Cities of Australia","11295","Denistone",1,100
"10","Major Cities of Australia","11297","Denistone East",1,100
"10","Major Cities of Australia","11299","Denistone West",1,100
"10","Major Cities of Australia","11301","Dharruk",1,100
"10","Major Cities of Australia","11303","Dolans Bay",1,100
"10","Major Cities of Australia","11305","Dolls Point",1,100
"10","Major Cities of Australia","11307","Doonside",1,100
"10","Major Cities of Australia","11309","Double Bay",1,100
"10","Major Cities of Australia","11311","Dover Heights",1,100
"10","Major Cities of Australia","11313","Drummoyne",1,100
"10","Major Cities of Australia","11315","Dulwich Hill",1,100
"10","Major Cities of Australia","11317","Dundas",1,100
"10","Major Cities of Australia","11319","Dundas Valley",1,100
"10","Major Cities of Australia","11321","Dural (Baulkham Hills and Hornsby)",1,100
"10","Major Cities of Australia","11323","Eagle Vale",1,100
"10","Major Cities of Australia","11325","Earlwood",1,100
"10","Major Cities of Australia","11327","East Hills",1,100
"10","Major Cities of Australia","11329","East Killara",1,100
"10","Major Cities of Australia","11331","East Lindfield",1,100
"10","Major Cities of Australia","11333","East Ryde",1,100
"10","Major Cities of Australia","11335","Eastern Creek",1,100
"10","Major Cities of Australia","11337","Eastgardens",1,100
"10","Major Cities of Australia","11339","Eastlakes",1,100
"10","Major Cities of Australia","11341","Eastwood",1,100
"10","Major Cities of Australia","11343","Edensor Park",1,100
"10","Major Cities of Australia","11345","Edgecliff",1,100
"10","Major Cities of Australia","11347","Elanora Heights",1,100
"10","Major Cities of Australia","11349","Elderslie (Camden)",1,100
"10","Major Cities of Australia","11351","Elizabeth Bay",1,100
"10","Major Cities of Australia","11353","Emerton",1,100
"10","Major Cities of Australia","11355","Emu Heights",1,100
"10","Major Cities of Australia","11357","Emu Plains",1,100
"10","Major Cities of Australia","11359","Enfield",1,100
"10","Major Cities of Australia","11361","Engadine",1,100
"10","Major Cities of Australia","11363","Englorie Park",1,100
"10","Major Cities of Australia","11365","Enmore (Marrickville)",1,100
"10","Major Cities of Australia","11367","Epping",1,100
"10","Major Cities of Australia","11369","Ermington",1,100
"10","Major Cities of Australia","11371","Erskine Park",1,100
"10","Major Cities of Australia","11373","Erskineville",1,100
"10","Major Cities of Australia","11375","Eschol Park",1,100
"10","Major Cities of Australia","11377","Fairfield",1,100
"10","Major Cities of Australia","11379","Fairfield East",1,100
"10","Major Cities of Australia","11381","Fairfield Heights",1,100
"10","Major Cities of Australia","11383","Fairfield West",1,100
"10","Major Cities of Australia","11385","Fairlight",1,100
"10","Major Cities of Australia","11387","Faulconbridge",1,100
"10","Major Cities of Australia","11389","Five Dock",1,100
"10","Major Cities of Australia","11391","Forest Lodge",1,100
