mass_var,dist_spec,target_key,source,target,dist,mass_source,mass_target,gravity,gravity_rank
n_hospitals,radial_distance,2026,2083,2026,0.3131076617383073,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2084,2026,0.24943018943127485,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2085,2026,0.1768273665237494,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2086,2026,0.14965323180608925,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2087,2026,0.13557771236708838,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2088,2026,0.06667718958398035,1,0.1,22,204
n_hospitals,radial_distance,2026,2089,2026,0.07602402007827237,0.1,0.1,2,148
n_hospitals,radial_distance,2026,2090,2026,0.07545695508034014,1,0.1,18,202
n_hospitals,radial_distance,2026,2092,2026,0.10225481569594101,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2093,2026,0.09568708346220532,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2094,2026,0.09561531041502495,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2095,2026,0.08679889678014795,1,0.1,13,198
n_hospitals,radial_distance,2026,2096,2026,0.11634444200374901,1,0.1,7,184
n_hospitals,radial_distance,2026,2097,2026,0.15693490554451864,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2099,2026,0.1480637472921442,1,0.1,5,176
n_hospitals,radial_distance,2026,2100,2026,0.13776528892045223,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2101,2026,0.1949888140691039,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2102,2026,0.20250374843105923,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2103,2026,0.21595848148369914,1,0.1,2,148
n_hospitals,radial_distance,2026,2104,2026,0.22836541798663298,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2105,2026,0.2392694933965998,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2106,2026,0.23702305106670657,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2107,2026,0.2626789826159813,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2108,2026,0.2962386055732214,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2109,2026,0.19780802531092276,1,0.1,3,166
n_hospitals,radial_distance,2026,2110,2026,0.1363875881561409,1,0.1,5,176
n_hospitals,radial_distance,2026,2111,2026,0.15599844464515886,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2112,2026,0.18015674008157434,1,0.1,3,166
n_hospitals,radial_distance,2026,2113,2026,0.17174834183529342,2,0.1,7,184
n_hospitals,radial_distance,2026,2114,2026,0.20639981576133407,1,0.1,2,148
n_hospitals,radial_distance,2026,2115,2026,0.2264636470161166,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2116,2026,0.24491801287533008,0.1,0.1,0,1
